id,water,water--adjust,water/area_norm,uv,UV adjust,area,fertilizer_usage,Fret_use_norm,yield,pesticides,Pest_norm,region,categories, Y over area , Y over area_norm,ADDED Cost Values,ADDED Cost Values_norm,Profit ratio
939,6.69,6.69,0.43452302,106.31,106.31,7.918,0,0,37.575,1.805,0.188169784,0,"c,a",4.745516545,0.26,0.622692803,0.2,0.06
782,8.599,8.599,0.56116492,102.491,102.491,10.008,1,0.2,85.963,3.757,0.393254885,2,"a,c,b,d",8.589428457,0.56,1.154419805,0.43,0.14
940,6.76,6.76,0.439166777,101.857,101.857,7.168,3,0.6,44.429,0.116,0.010716537,2,"c,a,b",6.198242188,0.38,1.049883314,0.38,-0.01
403,9.18,9.18,0.599708107,,100,4.986,2,0.4,52.428,1.503,0.156440429,1,a,10.51504212,0.71,1.156148535,0.43,0.28
50,6.262,6.262,0.40612976,,100,6.572,0,0,11.371,7.707,0.808258037,2,"c,d",1.730219111,0.03,1.214387797,0.45,-0.42
413,9.717,9.717,0.63533236,,100,3.784,2,0.4,46.109,2.752,0.287665476,2,c,12.1852537,0.84,1.322997836,0.5,0.34
416,3.847,3.847,0.245920127,,100,9.431,5,1,70.537,5.68,0.595293129,6,"d,c",7.479270491,0.48,1.841213256,0.72,-0.24
381,6.735,6.735,0.437508292,99.227,99.227,8.105,1,0.2,39.838,1.434,0.149191007,2,d,4.915237508,0.28,0.786699299,0.27,0.01
916,7.514,7.514,0.489186679,99.142,99.142,10.335,4,0.8,129.108,3.345,0.349968481,1,"b,d",12.49230769,0.87,1.63915516,0.63,0.23
874,8.144,8.144,0.530980496,98.719,98.719,7.374,4,0.8,87.531,3.284,0.343559571,3,"d,b,c",11.87021969,0.82,1.674540068,0.65,0.17
86,,7,0.455088231,98.031,98.031,8.177,3,0.6,68.304,0.585,0.059991595,1,b,8.353185765,0.54,1.115079826,0.41,0.13
786,4.972,4.972,0.320551944,97.61,97.61,8.407,0,0,59.654,4.801,0.502941794,1,"a,d,b",7.095753539,0.45,0.823493738,0.29,0.16
69,6.525,6.525,0.42357702,95.81,95.81,7.96,4,0.8,92.918,3.043,0.318239126,1,"a,b,c",11.67311558,0.8,1.541816146,0.59,0.21
154,2.853,2.853,0.179978771,95.767,95.767,6.612,0,0,40.011,2.835,0.296385795,2,"c,a",6.051270417,0.37,0.476364567,0.14,0.23
47,0.842,0.842,0.046570253,95.522,95.522,11.565,2,0.4,64.675,0.644,0.066190376,3,c,5.592304367,0.33,0.51276063,0.16,0.17
532,4.179,4.179,0.267944806,95.403,95.403,10.354,1,0.2,92.065,4.045,0.423513343,4,"b,c",8.891732664,0.59,0.891458149,0.32,0.27
506,7.277,7.277,0.473464243,94.914,94.914,4.759,0,0,24.625,2.983,0.311935281,1,"b,c,d",5.174406388,0.3,0.785399524,0.27,0.03
603,2.669,2.669,0.167772323,94.873,94.873,10.003,2,0.4,79.743,2.9,0.303214961,1,"c,a,d",7.971908427,0.51,0.870987284,0.31,0.21
