water,water--adjust,uv,UV adjust,area,fertilizer_usage,Fret_use_norm,yield,pesticides,Pest_norm,region,categories, Y_area , Y_area_norm,ADDED Cost Values,ADDED Cost Values_norm,Profit ratio,Dummy PR
1.414,1.414,63.536,63.536,6.836,2,0.4,85.334,3.339,0.349338096,3,d,12.48303101,86%,0.833854482,29%,57%,3
1.513,1.513,65.778,65.778,6.364,1,0.2,74.221,3.93,0.411430973,3,d,11.66263356,80%,0.702514959,24%,56%,3
1.97,1.97,68.791,68.791,6.986,1,0.2,76.502,2.563,0.267808363,3,"d,c",10.95075866,75%,0.589209451,19%,56%,3
1.71,1.71,67.928,67.928,4.782,2,0.4,61.784,4.316,0.451985711,2,a,12.92011711,90%,0.956138557,34%,56%,3
1.267,1.267,61.537,61.537,7.954,3,0.6,103.774,2.935,0.306892204,1,d,13.04676892,91%,0.981656699,35%,55%,3
1.274,1.274,64.257,64.257,5.407,2,0.4,61.041,1.817,0.189430553,0,"c,a",11.28925467,77%,0.664659424,22%,55%,3
1.297,1.297,65.361,65.361,5.64,2,0.4,71.583,4.359,0.456503467,2,"a,d",12.69202128,88%,0.933258144,33%,55%,3
1.334,1.334,69.205,69.205,9.588,2,0.4,119.293,4.447,0.465749107,2,d,12.44190655,86%,0.944958341,34%,52%,3
1.74,1.74,62.921,62.921,4.007,3,0.6,50.982,2.85,0.297961757,1,a,12.72323434,88%,1.004104784,36%,52%,3
0.713,0.713,77.55,77.55,12.957,0,0,125.129,4.042,0.423198151,4,"b,c,a,d",9.657250907,65%,0.461210623,13%,51%,3
1.646,1.646,60.096,60.096,9.135,1,0.2,86.761,1.328,0.138054213,4,d,9.497646415,63%,0.437961338,12%,51%,3
1.456,1.456,68.223,68.223,2.724,2,0.4,29.995,2.245,0.234397983,4,a,11.01138032,75%,0.721700623,24%,51%,3
1.896,1.896,62.282,62.282,5.547,3,0.6,70,2.903,0.303530153,2,a,12.61943393,87%,1.020022126,37%,50%,3
1.389,1.389,66.499,66.499,4.622,4,0.8,62.191,2.817,0.294494642,2,d,13.45543055,94%,1.177352543,44%,50%,3
1.51,1.51,61.344,61.344,6.258,1,0.2,70.473,5.097,0.534040765,2,d,11.26126558,77%,0.824925732,29%,48%,3
1.859,1.859,64.828,64.828,2.187,2,0.4,22.624,1.378,0.143307418,2,"a,d",10.34476452,70%,0.657344833,22%,48%,3
1.953,1.953,65.541,65.541,7.678,2,0.4,83.392,2.265,0.236499265,4,a,10.86116176,74%,0.756772583,26%,48%,3
1.513,1.513,66.13,66.13,10.172,2,0.4,106.113,1.825,0.190271065,4,a,10.4318718,71%,0.681355051,23%,48%,3
,4,64.624,64.624,3.077,3,0.6,38.078,2.273,0.237339777,1,"c,a",12.37504062,86%,1.093409832,40%,45%,3
1.45,1.45,64.902,64.902,12.834,2,0.4,143.939,4.183,0.438012187,4,c,11.21544335,77%,0.924916791,33%,44%,3
1.995,1.995,69.248,69.248,1.738,3,0.6,17.984,0.603,0.061882748,2,a,10.34752589,70%,0.784942321,27%,43%,3
2.165,2.165,75.755,75.755,6.857,0,0,61.07,3.863,0.404391679,1,"b,d",8.906227213,59%,0.538728948,17%,42%,3
1.73,1.73,63.706,63.706,5.311,3,0.6,53.373,0.454,0.046228199,2,c,10.04951986,68%,0.751707833,26%,42%,3
1.216,1.216,87.235,87.235,3.037,4,0.8,38.759,3.759,0.393465014,2,"d,b,a,c",12.76226539,89%,1.2648462,47%,41%,3
1.327,1.327,82.679,82.679,6.939,3,0.6,79.125,3.326,0.347972263,2,"a,b,c",11.4029399,78%,1.026717122,37%,41%,3
1.236,1.236,77.426,77.426,5.087,4,0.8,61.604,2.783,0.290922463,2,"d,c,b",12.11008453,84%,1.163630437,43%,40%,3
1.898,1.898,58.176,58.176,8.815,2,0.4,89.722,2.817,0.294494642,4,"c,d,b",10.17833239,69%,0.811119293,28%,40%,3
1.118,1.118,75.806,75.806,9.465,3,0.6,103.327,3.025,0.316347972,4,"d,c,a",10.91674591,74%,0.981227898,35%,39%,3
1.493,1.493,78.034,78.034,6.068,3,0.6,66.599,2.982,0.311830216,1,b,10.97544496,75%,1.001587414,36%,39%,3
1.685,1.685,75.248,75.248,6.52,5,1,88.759,3.672,0.384324438,1,d,13.61334356,95%,1.486818799,57%,38%,3
1.567,1.567,67.19,67.19,8.525,4,0.8,99.703,2.364,0.246900609,3,"c,b,a",11.69536657,80%,1.141566922,42%,38%,3
1.11,1.11,79.742,79.742,5.594,3,0.6,64.496,4.515,0.472893465,2,"c,b,d",11.52949589,79%,1.137242676,42%,37%,3
1.54,1.54,78.101,78.101,6.583,3,0.6,76.347,4.409,0.461756672,2,"c,b,a",11.59759988,80%,1.154631821,43%,37%,3
1.954,1.954,77.244,77.244,6.229,1,0.2,54.715,3.222,0.337045598,2,"c,a",8.783913951,58%,0.657385256,22%,36%,3
1.613,1.613,72.889,72.889,7.186,0,0,55.694,3.565,0.37308258,2,"a,d,b",7.750347899,50%,0.470800505,14%,36%,3
9.43,9.43,68.497,68.497,8.624,2,0.4,108.664,3.323,0.347657071,1,d,12.60018553,87%,1.363950026,52%,36%,3
1.188,1.188,92.868,92.868,8.315,3,0.6,96.516,4.906,0.513973524,2,"c,a,b",11.6074564,80%,1.183497207,44%,36%,3
1.76,1.76,79.507,79.507,6.223,3,0.6,61.788,1.733,0.180605169,3,"d,a",9.928973164,67%,0.888074985,31%,35%,3
1.952,1.952,,80,5.957,5,1,80.753,4.217,0.441584366,3,c,13.55598456,95%,1.561791345,60%,35%,3
1.681,1.681,45.264,45.264,3.476,4,0.8,43.202,4.41,0.461861736,2,"a,c,d",12.42865362,86%,1.364090739,52%,34%,3
9.717,9.717,,100,3.784,2,0.4,46.109,2.752,0.287665476,2,c,12.1852537,84%,1.322997836,50%,34%,3
8.688,8.688,66.108,66.108,6.187,2,0.4,70.875,2.174,0.226938432,3,a,11.45547115,78%,1.194007558,44%,34%,3
1.679,1.679,79.767,79.767,6.311,1,0.2,43.157,0.458,0.046648456,2,a,6.838377436,43%,0.34874478,9%,34%,3
9.28,9.28,66.085,66.085,5.994,2,0.4,72.525,3.215,0.336310149,1,a,12.0995996,83%,1.342652195,51%,33%,3
1.31,1.31,79.65,79.65,4.407,3,0.6,39.464,0.931,0.09634377,4,"d,b,c",8.954844565,59%,0.773960859,27%,32%,3
9.817,9.817,,70,3.546,3,0.6,47.086,3.146,0.329060727,4,"d,c",13.2786238,93%,1.571027027,60%,32%,3
3.612,3.612,65.987,65.987,6.892,0,0,52.624,2.927,0.306051692,2,c,7.635519443,49%,0.536382062,17%,32%,3
0.842,0.842,80.154,80.154,6.619,1,0.2,52.916,3.406,0.35637739,1,b,7.994561112,52%,0.602947644,19%,32%,3
9.355,9.355,66.235,66.235,6.164,4,0.8,84.764,2.394,0.250052532,2,a,13.75146009,96%,1.661370032,64%,32%,3
1.284,1.284,79.466,79.466,7.005,4,0.8,72.088,1.474,0.15339357,2,"c,b,a",10.29093505,69%,1.029285835,37%,32%,3
1.265,1.265,66.906,66.906,5.984,2,0.4,65.116,6.36,0.666736709,2,d,10.88168449,74%,1.141368526,42%,32%,3
0.14,0.14,80.462,80.462,7.528,1,0.2,60.104,4.054,0.42445892,0,"c,a",7.984059511,52%,0.62445892,20%,31%,3
9.295,9.295,68.929,68.929,2.108,1,0.2,23.033,3.586,0.375288926,3,d,10.92647059,74%,1.182626063,44%,30%,3
8.889,8.889,62.933,62.933,2.615,1,0.2,30.533,5.154,0.540029418,3,a,11.67609943,80%,1.320432761,50%,30%,3
1.821,1.821,67.255,67.255,7.737,1,0.2,61.919,3.266,0.341668418,6,a,8.002972728,52%,0.653184936,22%,30%,3
1.27,1.27,53.44,53.44,7.17,3,0.6,61.716,0.879,0.090880437,3,"d,b,c",8.607531381,56%,0.76584395,26%,30%,3
2.756,2.756,70.658,70.658,12.236,0,0,66.051,0.059,0.004727884,2,"b,d",5.39808761,31%,0.178271734,1%,30%,3
4.652,4.652,,90,6.677,2,0.4,67.548,3.301,0.345345661,3,"d,b,c",10.11651939,68%,1.044668999,38%,30%,3
11.151,11.151,64.692,64.692,5.763,1,0.2,62.495,2.38,0.248581635,2,a,10.84417838,74%,1.179044684,44%,30%,3
1.647,1.647,74.201,74.201,4.116,3,0.6,34.399,0.249,0.024690061,1,"d,a,c,b",8.357385811,54%,0.724663525,25%,30%,3
