Date,action shot,person,product,outdoor,social messaging,TEXT,celebrity,engrate
30-Sep,0,1,1,1,0,0,0,0.00 
25-Sep,0,1,1,0,0,0,0,0.01 
23-Sep,0,1,1,0,0,0,0,0.00 
22-Sep,0,0,0,0,1,1,0,0.00 
21-Sep,0,1,1,0,0,0,0,0.00 
18-Sep,0,1,0,0,1,0,0,0.01 
17-Sep,0,1,1,0,0,0,0,0.01 
14-Sep,0,0,0,0,1,1,0,0.00 
13-Sep,1,1,1,0,0,0,0,0.00 
11-Sep,1,1,1,0,0,0,0,0.00 
10-Sep,0,0,0,1,1,0,0,0.01 
9-Sep,0,1,1,0,0,0,0,0.00 
8-Sep,1,1,1,1,0,0,0,0.00 
5-Sep,1,1,1,1,0,0,0,0.00 
4-Sep,0,1,1,1,0,0,0,0.00 
3-Sep,0,1,1,0,0,0,0,0.00 
2-Sep,0,0,0,1,0,0,0,0.01 
26-Aug,1,1,1,1,0,0,0,0.00 
25-Aug,0,1,1,1,0,0,0,0.00 
24-Aug,0,1,0,0,0,1,0,0.00 
23-Aug,1,1,1,1,0,0,0,0.00 
21-Aug,0,1,1,1,0,0,0,0.00 
20-Aug,0,1,1,0,0,0,0,0.00 
19-Aug,1,1,1,1,0,0,0,0.00 
18-Aug,0,1,1,1,1,0,0,0.00 
17-Aug,0,0,1,0,0,0,0,0.00 
16-Aug,0,1,1,0,0,0,0,0.00 
13-Aug,0,1,1,0,0,0,1,0.03 
12-Aug,1,1,1,1,0,0,0,0.01 
10-Aug,1,1,1,0,0,0,0,0.00 
6-Aug,1,1,1,1,0,0,0,0.01 
4-Aug,0,1,1,0,0,0,0,0.00 
2-Aug,1,1,1,1,0,0,0,0.00 
31-Jul,1,1,1,0,0,0,0,0.01 
29-Jul,1,1,1,0,0,0,0,0.00 
28-Jul,0,1,1,1,0,0,0,0.00 
21-Jul,0,1,1,0,0,0,0,0.00 
20-Jul,1,1,1,1,0,0,0,0.01 
19-Jul,1,1,1,1,0,0,1,0.00 
16-Jul,1,1,1,1,0,0,0,0.01 
15-Jul,1,1,1,1,0,0,0,0.01 
14-Jul,1,1,1,0,0,0,0,0.01 
9-Jul,1,1,1,0,0,0,0,0.01 
8-Jul,1,1,1,1,0,0,0,0.00 
6-Jul,1,1,1,1,0,0,0,0.01 
5-Jul,0,1,1,1,0,0,0,0.01 
28-Jun,0,0,0,0,1,1,0,0.01 
21-Jun,1,1,0,1,0,1,0,0.00 
19-Jun,0,0,0,0,1,1,0,0.00 
15-Jun,0,0,0,1,0,0,0,0.01 
14-Jun,1,0,0,1,1,1,0,0.01 
